date,category,channel,ad_platform,campaign_name,ad_name,target_customer,audience_targeting,price,promotion_discount,distribution_index,holiday_flag,holiday_name,revenue,sales_volume,market_share,spend,impressions,clicks,add_to_carts,orders
2024-01-01,Cookware & Bakeware,SEO,Google,Refresh Cookwa 2024,Google - Cookwa Ad,Home Enthusiast,Broad,82.68,0.03,0.92,0,,7057.56,88,0.16,1812.43,38326,428,61,30
2024-01-01,Cookware & Bakeware,Social,TikTok,Summer Cookwa 2024,TikTok - Cookwa Ad,DIY Decorator,Retargeting,121.91,0.15,0.94,0,,10465.97,101,0.05,2436.88,737052,19830,3085,1366
2024-01-01,Cookware & Bakeware,Email,Klaviyo,Spring Cookwa 2024,Klaviyo - Cookwa Ad,Professional Designer,Keywords,189.1,0.09,0.78,0,,11701.51,68,0.06,1432.33,135889,6648,1168,596
2024-01-01,Kitchen Appliances,eFlyers,RetailMeNot,Summer Kitche 2024,RetailMeNot - Kitche Ad,DIY Decorator,Keywords,37.22,0.06,0.79,0,,2868.92,82,0.07,775.09,110907,2795,532,301
2024-01-01,Kitchen Appliances,SEM,Bing,Refresh Kitche 2024,Bing - Kitche Ad,Home Enthusiast,Interests,355.38,0.17,0.72,0,,23892.2,81,0.18,1649.01,261702,4327,761,455
2024-01-01,Kitchen Appliances,Referring Domain,FoodNetwork.ca,Refresh Kitche 2024,FoodNetwork.ca - Kitche Ad,Home Enthusiast,Broad,413.57,0.2,0.82,0,,23821.63,72,0.06,2748.09,599731,27020,4402,2337
2024-01-01,Tabletop & Dining,Referring Domain,Design*Sponge,Summer Tablet 2024,Design*Sponge - Tablet Ad,Professional Designer,Broad,134.61,0.14,0.78,0,,8450.82,73,0.17,2703.69,423801,10374,3106,1328
2024-01-01,Tabletop & Dining,Radio,Bell Media,Spring Tablet 2024,Bell Media - Tablet Ad,Home Enthusiast,Broad,319.31,0.2,0.83,0,,20691.29,81,0.06,1206.7,495785,15450,4545,2600
2024-01-01,Storage & Organization,Referring Domain,FoodNetwork.ca,Refresh Storag 2024,FoodNetwork.ca - Storag Ad,DIY Decorator,Interests,69.1,0.11,0.84,0,,5350.41,87,0.24,2639.97,281183,13742,3468,1739
2024-01-01,Home Décor,Referring Domain,Design*Sponge,Summer Home D 2024,Design*Sponge - Home D Ad,Home Enthusiast,Interests,384.82,0.13,0.93,0,,29127.03,87,0.16,101.66,344902,10189,1246,588
2024-01-01,Bedding & Bath,Display,YouTube,Summer Beddin 2024,YouTube - Beddin Ad,DIY Decorator,Keywords,56.54,0.12,0.72,0,,3532.62,71,0.2,2320.92,139628,5081,1470,636
2024-01-01,Bedding & Bath,Partnership/Affiliate,Honey,Summer Beddin 2024,Honey - Beddin Ad,DIY Decorator,Broad,360.78,0.1,0.9,0,,26300.86,81,0.12,2708.88,478417,7099,1028,480
2024-01-02,Cookware & Bakeware,Partnership/Affiliate,Rakuten,Summer Cookwa 2024,Rakuten - Cookwa Ad,Home Enthusiast,Keywords,358.3,0.01,0.72,0,,26249.06,74,0.06,1058.24,544131,10621,2483,1099
2024-01-02,Cookware & Bakeware,SEM,Bing,Summer Cookwa 2024,Bing - Cookwa Ad,Professional Designer,Retargeting,107.35,0.02,0.83,0,,9047.46,86,0.13,1454.37,769491,9362,2159,1142
2024-01-02,Cookware & Bakeware,Social,Meta,Refresh Cookwa 2024,Meta - Cookwa Ad,Home Enthusiast,Broad,107.92,0.13,0.74,0,,6478.44,69,0.09,1441.62,921964,43268,8161,4670
2024-01-02,Kitchen Appliances,SEO,Google,Spring Kitche 2024,Google - Kitche Ad,Home Enthusiast,Broad,95.66,0.12,0.76,0,,6818.64,81,0.13,270.04,402382,4058,722,422
2024-01-02,Kitchen Appliances,Radio,Rogers,Promo Kitche 2024,Rogers - Kitche Ad,DIY Decorator,Retargeting,90.08,0.07,0.99,0,,7120.82,85,0.17,1672.37,789309,17794,1957,969
2024-01-02,Kitchen Appliances,Partnership/Affiliate,Rakuten,Spring Kitche 2024,Rakuten - Kitche Ad,DIY Decorator,Keywords,427.9,0.02,0.72,0,,27676.57,66,0.22,1270.95,992335,45261,6754,3504
2024-01-02,Tabletop & Dining,SEO,Bing,Refresh Tablet 2024,Bing - Tablet Ad,Professional Designer,Broad,339.82,0.08,0.78,0,,22822.31,73,0.08,1971.95,484434,10971,2746,1138
2024-01-02,Tabletop & Dining,Radio,Bell Media,Spring Tablet 2024,Bell Media - Tablet Ad,DIY Decorator,Broad,260.35,0.03,0.8,0,,20455.7,81,0.06,808.42,303830,4955,1321,714
2024-01-02,Tabletop & Dining,eFlyers,Flipp,Refresh Tablet 2024,Flipp - Tablet Ad,DIY Decorator,Keywords,470.38,0.03,0.73,0,,41064.17,90,0.07,1704.35,290577,6180,878,411
2024-01-02,Storage & Organization,Referring Domain,Design*Sponge,Promo Storag 2024,Design*Sponge - Storag Ad,Professional Designer,Keywords,59.76,0.11,0.78,0,,4254.91,80,0.05,2336.25,673061,33109,4380,2139
2024-01-02,Storage & Organization,TV,Bell Media,Spring Storag 2024,Bell Media - Storag Ad,Home Enthusiast,Broad,279.61,0.21,0.87,0,,15904.22,72,0.08,469.59,328232,8069,2312,1374
2024-01-02,Storage & Organization,Social,Meta,Summer Storag 2024,Meta - Storag Ad,DIY Decorator,Broad,338.46,0.09,0.87,0,,20019.91,65,0.22,2924.13,790884,12798,3659,2096
2024-01-02,Home Décor,TV,Bell Media,Summer Home D 2024,Bell Media - Home D Ad,DIY Decorator,Interests,394.46,0.1,0.9,0,,30886.22,87,0.2,819.68,171931,7134,867,498
2024-01-02,Bedding & Bath,Display,YouTube,Promo Beddin 2024,YouTube - Beddin Ad,Professional Designer,Interests,412.96,0.22,0.77,0,,28023.47,87,0.18,1255.55,297136,13244,3885,1770
2024-01-02,Bedding & Bath,Referring Domain,Design*Sponge,Refresh Beddin 2024,Design*Sponge - Beddin Ad,Home Enthusiast,Keywords,440.36,0.07,0.87,0,,33172.32,81,0.25,210.95,630550,17266,4242,1962
2024-01-03,Cookware & Bakeware,Partnership/Affiliate,Rakuten,Promo Cookwa 2024,Rakuten - Cookwa Ad,DIY Decorator,Broad,138.54,0.18,0.7,0,,6702.57,59,0.24,1661.51,759377,36154,8944,3930
2024-01-03,Cookware & Bakeware,TV,Bell Media,Refresh Cookwa 2024,Bell Media - Cookwa Ad,DIY Decorator,Interests,336.74,0.03,0.97,0,,34296.97,105,0.15,2033.99,347027,9056,1441,613
2024-01-03,Cookware & Bakeware,TV,Rogers,Summer Cookwa 2024,Rogers - Cookwa Ad,DIY Decorator,Interests,211.95,0.21,0.79,0,,14232.44,85,0.09,2378.7,641130,23201,4477,2186
2024-01-03,Kitchen Appliances,Partnership/Affiliate,Honey,Summer Kitche 2024,Honey - Kitche Ad,DIY Decorator,Keywords,152.64,0.17,0.89,0,,12289.05,97,0.07,2860.8,251277,9275,1344,591
2024-01-03,Tabletop & Dining,Social,Pinterest,Promo Tablet 2024,Pinterest - Tablet Ad,DIY Decorator,Keywords,235.88,0.22,0.87,0,,15270.87,83,0.19,1213.54,424066,8379,1937,776
2024-01-03,Storage & Organization,TV,Bell Media,Summer Storag 2024,Bell Media - Storag Ad,DIY Decorator,Retargeting,39.36,0.06,0.95,0,,3958.83,107,0.14,2424.11,705005,22028,4665,2162
2024-01-03,Home Décor,eFlyers,RetailMeNot,Promo Home D 2024,RetailMeNot - Home D Ad,Home Enthusiast,Retargeting,233.28,0.19,0.95,0,,17006.11,90,0.11,2355.26,513136,17995,2787,1157
2024-01-03,Home Décor,Direct,Direct Site,Refresh Home D 2024,Direct Site - Home D Ad,Professional Designer,Interests,448.12,0.02,0.75,0,,30741.03,70,0.13,543.14,229345,2882,523,265
2024-01-03,Bedding & Bath,Social,Pinterest,Promo Beddin 2024,Pinterest - Beddin Ad,Professional Designer,Keywords,430.52,0.19,0.81,0,,30338.74,87,0.05,1120.1,795075,20353,5664,3212
2024-01-03,Bedding & Bath,Partnership/Affiliate,Rakuten,Promo Beddin 2024,Rakuten - Beddin Ad,Home Enthusiast,Interests,226.38,0.01,0.8,0,,20842.81,93,0.19,1272.52,178061,7767,2205,1314
2024-01-04,Cookware & Bakeware,Social,Meta,Spring Cookwa 2024,Meta - Cookwa Ad,Home Enthusiast,Retargeting,80.81,0.12,0.72,0,,4266.77,60,0.13,713.81,347722,8171,2254,1027
